"","y.NPV_mono","y.NPV_AF","y.NPV_decision","x.n_years","x.establishment_cost_mono","x.establishment_cost_AF","x.rubber_main_cost","x.var_rubber_main_cost","x.pepper_main_cost","x.var_pepper_main_cost","x.max_pepper_yield","x.var_pepper_yield","x.max_rubber_yield","x.var_rubber_yield","x.rubber_price","x.pepper_price","x.mono_nutrient","x.var_mono_nutrient","x.mono_nutrient_saved","x.AF_nutrient","x.var_AF_nutrient","x.AF_nutrient_saved","x.cost_water","x.var_cost_water","x.water_competition_probability","x.yield_if_competition","x.var_yield_if_competition","x.var_AF_water","x.mean_AF_water","x.competition_AF_water","x.knowledge_gap_probability","x.var_knowledge_gap_probability"
"142",708754259.240912,1279017869.72118,570263610.480264,25,661427.897504524,239840.600016113,57993.527960297,2.7157545528663,180982.307969251,11.8500324669305,155.747292133767,14.9074943001064,488.289364463649,13.2317068629976,164513.041897996,108372.118317576,104.0679810642,11.5649994669918,45339.1830372123,64.8717658897908,9.54846023265593,3362.56650673319,12789.5075285725,12.5197411321718,0.143357312480756,0.313611382072023,0.115088071715933,6.83569141392424,1126.42442796844,1910.43168562544,0.296648147491244,0.0148918970495314
"143",55946569.5430187,-224566814.935374,-280513384.478393,25,69453.974720079,86464.3118173562,54593.3071714958,10.9717498434691,186275.731638046,10.2321276346494,101.80288868968,17.5947229560664,30.5632400179673,19.0426062960079,162349.552359947,117997.740872473,91.4813823738247,10.1206715062255,19928.5690109425,88.61174624057,13.8401513283171,44657.433456375,20916.042336709,11.2659386816956,0.196866544407555,0.352268977372809,0.0939820968787378,17.8362160940483,1980.0598217395,2025.14649235332,0.359732472058884,0.0159904458247306
"144",164079023.866754,348592581.561074,184513557.694319,25,623255.058655024,692404.699522644,37612.0939345861,9.36612044277761,20243.0860368572,8.42240827920612,37.8399273238747,7.65720445237144,124.106967761583,14.667372986549,162567.919562758,134204.08893902,92.0218789053138,12.2701570158086,14041.6448985152,118.206138037414,21.3351298307844,2051.99178066617,1788.46990702584,9.20785411887874,0.275063946704314,0.4261006988248,0.163903954777952,4.81479012005225,2699.38052873321,787.190495904636,0.353366994288878,0.0159610707360268
"145",491256666.784609,741125104.819458,249868438.034849,25,538875.838219235,815326.847828071,93879.2932682535,12.8356548064372,322719.733876365,13.0979210106015,19.3694370239724,14.3858015253984,296.955387460777,21.3115339362083,185335.525027323,118926.821193294,99.7327030379577,13.0597990547704,48112.3939782138,79.610936553349,38.878736200499,5422.92535976227,10380.4761282491,6.64274285046661,0.271243872168917,0.375889511528158,0.100846369622245,13.4697825034417,1194.44316641911,2146.95740767392,0.420973895096153,0.0119715975882126
"146",128175337.442467,297228368.298451,169053030.855984,25,37241.6275598009,1059613.73154442,32150.0103736159,13.6934267619109,98835.8693978365,10.7409768575749,62.1457021353965,12.1538997599541,88.8747283241147,15.2928849197066,168139.570481651,152065.925943599,18.3263107682471,7.45923322624804,1767.49541883973,121.258393476824,32.1745473955023,56160.4570954719,4524.62316535539,23.7478244461483,0.18034489621776,0.421403625250632,0.157843544471347,26.3402888932239,1876.31693780272,2458.55311176981,0.303683411800722,0.0166616773161207
"147",262178062.676012,302492477.330456,40314414.6544443,25,813697.306955816,998593.450268724,87802.7615700995,5.70198799023557,39590.9927730623,10.0271305995378,140.774169814645,19.9184247064601,164.46075304519,11.7062572293843,178932.129330166,91168.1754184908,108.289954378887,11.3914460969735,16161.16880734,106.46535754162,5.42969595226057,6183.94769694423,16055.7583115086,6.74476603648625,0.295266299930489,0.418312731193729,0.124887625692619,25.9085570477938,2269.05648172314,2038.07310942897,0.224531699063259,0.0136725219987099
"148",205428407.725257,251360501.762686,45932094.0374291,25,101547.264320782,1168852.99113812,77926.4935889672,14.4869341586164,205855.212381478,9.30211395139504,14.8584054236463,18.2996075713262,172.970313499929,21.2906864610458,173455.51006642,81370.8217654311,123.116304091648,8.21750346019418,41390.635117967,101.830751618395,15.2596489402924,19633.7861360596,17515.0429514547,7.8685566855322,0.245490410870497,0.347871000135584,0.174960375757135,16.3061538265241,751.989219371477,2858.94934537466,0.341884203392389,0.0102346569264847
"149",319244578.31338,372928693.743007,53684115.4296272,25,422643.50313492,970530.307293947,28933.6157818518,11.7802278690544,11207.1007323019,11.5385470754893,18.2190413421309,18.844348884586,187.197211204396,15.5142072491626,186205.737860895,136146.127382419,21.0332581597392,8.05806616829702,57661.3069380481,76.1424587265399,16.0688452331058,17657.9543056008,10146.1938264379,10.5454936943575,0.201542644690335,0.393408902012228,0.127318311825087,12.333238761685,1404.33136086955,2734.75829618083,0.253855827748696,0.00974608561594777
"150",114149130.461606,27440048.7013987,-86709081.7602075,25,268746.777212454,626980.202857273,87225.3302104122,8.6297156280575,226349.762933054,12.2902197758225,134.621629265085,12.2146995216032,90.4300013003283,15.8905955617392,153025.105097916,111297.441140889,209.615289800304,8.31855823461564,2429.06730521529,152.910114181973,15.4947841252988,23174.6631185596,12286.673996112,6.58497158935081,0.165080272694568,0.413023840996007,0.157212159453228,16.534185358321,1261.66509062515,3007.47069294375,0.350396461398753,0.0188423702020657
"151",206542320.80028,481300515.378066,274758194.577785,25,815148.621050449,1020866.80228634,73727.9384931888,12.3876220080388,133343.589973186,6.05343555841002,89.3508613637397,17.8272526532117,123.568505400562,13.5122605840244,177547.998115052,100120.344449531,61.3404751065599,9.67436621186786,35399.8983250413,102.411828496141,30.3986896952014,26857.9874205701,1960.35742053453,12.2004429419842,0.294604395215258,0.35841170993354,0.158690396057865,26.1642339643801,1664.86810646241,1567.49025106199,0.232655083038874,0.0170794424878551
