"","y.cashflow1","y.cashflow2","y.cashflow3","y.cashflow4","y.cashflow5","y.cashflow6","y.cashflow7","y.cashflow8","y.cashflow9","y.cashflow10","y.cashflow11","y.cashflow12","y.cashflow13","y.cashflow14","y.cashflow15","y.cashflow16","y.cashflow17","y.cashflow18","y.cashflow19","y.cashflow20","y.cashflow21","y.cashflow22","y.cashflow23","y.cashflow24","y.cashflow25","y.NPV_decision","y.NPV_rubber","y.NPV_AF","x.n_years","x.discount_rate","x.Var_Cv","x.establishment_cost_mono","x.establishment_cost_AF","x.rubber_main_cost","x.pepper_main_cost","x.max_pepper_yield","x.max_rubber_yield","x.rubber_price","x.pepper_price","x.mono_nutrient","x.AF_nutrient","x.fertilizer_price","x.cost_water","x.water_competition_probability","x.yield_if_competition","x.mean_AF_water","x.competition_AF_water","x.knowledge_gap_probability"
"21",2086493.17863658,6023096.59843539,4692494.05492631,4885837.92143869,5124496.47593429,4476473.47570272,4073504.33160068,3670111.89703936,6386049.79379606,6085525.74284053,5185170.00877736,9662431.21330353,7275431.67134145,9654004.70113224,8703569.4255056,10050711.2427056,7783408.68222391,9198562.75262053,8357743.7040575,9348359.08495159,7063605.31917543,11266424.1543675,7120373.66194995,9708284.78940667,11045979.6222914,-18863983.7118816,77393884.4410664,58529900.7291849,25,10,8.74269188648079,77644.6954507656,128040.405835506,499263.389212559,101003.352129581,31.0885411528651,38.3626895742398,500562.599210899,737205.586612089,4.79266805537206,10.2100955186454,12166.0513479311,6362.11056054082,0.227121436962343,0.512659070555579,1751.90075868526,1785.83962211063,0.281507252821014
"22",25558225.7143265,28196841.8260437,27024511.1054071,27852978.7582278,34426162.7003947,32878927.2845626,32421210.4231616,35923692.6231109,32971159.4012934,35940308.7654227,33419603.2345181,31233320.2127292,39291333.741443,33252889.1856979,34013268.1026041,38938866.6388978,35934932.819855,34217486.6894306,32200906.5161948,32799206.9570377,38252843.6439105,35313666.4641128,32048503.2889254,35729247.9410534,35700845.3851188,167187356.686124,150569082.324374,317756439.010498,25,10,7.72714806204462,73549.1978291586,106638.997281925,486972.680105684,76190.9652607719,33.0256495272669,40.8250194990989,440241.558045515,840164.278317953,3.0523894113186,5.81387482034124,11300.3240287162,4426.97078452192,0.165222736982681,0.434253698010367,1605.74906249266,1731.42298405358,0.237893856881773
"23",32385751.064066,32936988.0719281,27895646.5475435,32461549.186147,36360828.5820029,36331604.7764533,37103519.2301788,33154653.6139617,34664195.2318494,33216900.5828145,40972292.4262244,36937891.4196429,39257045.011455,40379064.7397155,41750234.6937391,39442196.8441814,43848948.789221,42478024.6205798,41809882.402684,41237414.5543385,41784989.0713488,42849206.3481553,39720204.863256,41206621.3897171,46448174.030043,129039262.449752,228134150.176306,357173412.626057,25,10,7.01960522962287,88151.1960119806,85323.7427353004,540484.42398059,95380.2786873022,26.6319030269819,47.3070103158427,570255.266054632,887023.917383167,7.90469537848744,5.30768437816784,11094.4100314143,4152.36695078748,0.111729497489285,0.355321529944415,1667.81052362819,1736.31392227671,0.226025866186622
"24",14352643.4948084,13194059.9818027,25047789.0797556,22702623.2425736,16525871.7132023,23854326.1763072,21819006.161654,25283135.308267,27403398.8725526,26708376.3025068,27571521.793811,27135102.0151143,30853953.9968127,37625973.6439904,32303417.4003972,28582082.194626,34300909.7495246,34535782.7695721,28141427.7947876,36994925.8927236,33312253.3103506,33351716.7097734,34527436.1273229,31320008.6696633,26684975.8098913,1266462.5565081,239873169.027635,241139631.584143,25,10,6.54215769874117,91847.600619973,93632.3375463674,467117.587891019,80207.2030724461,34.9494473541061,47.7301028858173,610592.073333607,861085.474523549,3.64651646696602,7.86945921898956,12048.3851538546,7983.63765377471,0.282870276029986,0.335984341032523,3070.28647201588,3003.86529868592,0.310061591983374
"25",7637249.42300577,13888309.2089966,13029710.7222812,9124059.32089151,15663885.1856016,14064494.9299591,16866234.6597341,8818500.02953558,14399315.8811032,12548304.0931685,19593237.5218852,26743215.8764876,19956313.8142518,20649326.2326781,21370426.0127637,20829098.2035087,13622340.7378033,20940299.373183,16412673.6757669,16772641.9210164,15622366.4126056,16331660.8951578,22307506.3683767,25326395.5096203,22535608.6083975,-57526162.9114149,205998104.278302,148471941.366887,25,10,8.95488799254122,102484.812769174,121976.509535385,464603.465507229,86949.3604246045,31.0108798250185,39.9979658565111,630943.614022951,826013.705669095,1.39275764924377,4.7581659460928,11092.3601930329,11638.1646549661,0.167205184622445,0.417473581642361,2769.59534026898,2456.90389343314,0.262188644529347
"26",32242225.3913886,34526179.3985689,34752841.9111002,38817664.1508254,33565540.8174347,31914192.4062997,36544240.3144635,37955685.3255503,44022795.6566948,36191631.5094016,38823900.4457832,43025553.3964193,39425161.4802658,39697030.1342212,44987610.784809,42656318.3156357,42485997.8210625,40554946.1438623,43144211.4102817,44930219.9929515,44405678.2346844,43598480.8158309,40210277.7739297,44549384.2444306,47328686.9665931,174938653.84194,201065586.477261,376004240.3192,25,10,6.64217272194913,91035.6904427858,96384.9915651322,542389.297154082,86557.7543908608,33.3296959994495,45.8798821443093,524528.186455312,891722.961496295,3.01136628669879,9.34992228380365,11621.1216689194,2600.57048729345,0.167121136581328,0.439002972325853,1284.35777040363,3178.70580600621,0.207572194936584
"27",28039083.5396112,28094965.7491216,25409812.493721,30492304.5684896,34563813.0145662,30139456.0092257,30426697.0630742,36393605.4750078,34167255.909371,35225725.8851366,33981734.3011496,32815751.1875525,35672086.837269,31551165.6126127,34906811.1653949,36069873.4605992,41381804.8813645,41674287.0889802,39290949.0165582,37782833.3558223,35275015.9168508,40982448.8047963,38197229.3243508,37746670.0425627,38529090.5492963,136554559.715219,187017513.293788,323572073.009007,25,10,7.73933886597984,83944.2164529679,88990.5197218788,551239.432015442,87419.1035336083,27.8299833826862,48.080891211562,481826.315868665,878648.393906522,3.58497604508823,8.2807893338959,11755.0468594504,4731.42986850523,0.190955118175921,0.412072986823876,1858.89532403301,1485.63964568178,0.253412399983693
"28",22491305.0528206,27197183.7161282,28945396.6536737,27452472.9825211,32786477.3827096,29744378.3213254,35582344.2483912,35478429.2063097,33978190.6902302,29825336.2307289,32655239.7805097,32702545.8733663,31668361.749988,31558950.9921414,35046125.5318535,37949487.0840232,35190251.866064,35037816.3545565,36503204.5062706,35076880.7739488,33713205.7200655,36001318.1355334,36909580.4147378,34688637.494595,35250062.2087788,115742803.490694,194026213.923551,309769017.414244,25,10,8.01556179788234,87142.1889962175,123664.917933211,545626.287897061,90601.1453366437,28.8145747265394,40.7204984013446,548911.064907499,775650.433288922,4.94038781332375,8.35553211492653,10971.9232690193,2660.6183882503,0.210318811078519,0.35250256103279,673.518909720399,2626.98610198841,0.241141229748044
"29",30874269.6244249,32417277.8014796,33277481.5081596,37439643.131364,37251800.5205239,40657798.7365716,43727410.7714642,43138777.6379557,43079455.4131401,43669830.8528725,45378616.8773706,45850777.4938428,48042201.644539,48254006.2327157,50750429.4828116,50074601.0139125,49709150.9701524,46643302.4597715,45326170.0662649,46467072.9405638,55554512.0643326,49043748.9567673,51173606.8418292,54670610.7460041,47922824.9161257,172376122.02469,235866852.361301,408242974.385991,25,10,7.6550499567566,106617.702116246,94627.6182717633,534588.043559749,84475.3053160345,28.9431471852524,41.9084552345088,734979.129985837,854709.034468835,5.32882862618749,5.2614487829763,11502.2391703522,1412.41399531466,0.247899372788895,0.395913053271358,2157.98235595904,1529.5922412731,0.363267962194393
"30",19412585.3742423,19129585.3521937,21078329.1753865,25693502.5750038,23946289.6134937,25982788.4484537,27897948.5226539,25760998.6086837,34027389.6002475,30200579.3944319,31797511.1218936,33744019.8954081,32956013.9182436,31056100.1238651,33197419.3128947,34087501.6405375,33264458.287399,38317186.0962635,35077270.3331846,40721422.9811965,33559467.6749133,35339707.8654145,35295275.0520005,39611280.7528627,39586288.4350139,51691579.5942081,222788738.541875,274480318.136083,25,10,6.62621112551436,73826.1602339265,91570.5779011043,481758.658309205,78100.386848485,30.3220575785215,43.1857506651698,641474.489546545,868316.786327416,4.00017581400577,7.34591581167621,11926.0708864682,5067.24496776466,0.0121489586627982,0.35960972731439,2197.88914887219,3135.81634261081,0.339890579496478
"31",25656959.6637028,27058541.1457935,26074907.9849661,27602087.4614745,29634756.912191,32005046.7584183,29842627.7188892,35338373.6203789,32398210.0902298,33291346.0956,33752355.1382495,35008717.4845594,36341788.1831356,32758308.9067622,36680235.5902565,34962456.3609026,37319057.6872754,38507905.0778504,37852271.2503139,39625232.0963273,34222936.5141206,38761681.009267,37406281.291335,36165742.13121,42967797.6540911,125033854.766238,188564473.850454,313598328.616692,25,10,6.26088072706667,90104.0256027989,108835.856460619,526001.550962889,97241.9708544414,31.0764512807094,39.1280683573905,582799.746322793,813078.77527104,3.15256956987983,3.48701677981558,10891.1367206293,3283.18266592229,0.117016686945363,0.395324484249283,42.1302906676337,2615.17399335483,0.293866622350699
"32",17121789.707007,18391272.1469838,17686913.4263433,15348116.7307368,17779896.6150341,18958738.3866593,20036500.8478351,17213052.3923504,17188018.3730495,18563270.853894,20342840.5493467,17069405.8912006,19294326.7917989,18784922.6349264,17392498.011681,19604383.1154518,20348312.0720514,18002415.8925261,22209175.0475731,20110355.2470051,21731684.7423629,19356687.7296064,21122729.326098,19921957.1090573,22076043.6103251,47975266.1705383,134831979.655662,182807245.826201,25,10,6.7206982879451,82488.6754001387,88058.2413621951,477538.013674914,94794.6791351456,26.8286030515856,48.7057807034972,527413.031858746,775132.05369103,3.28088891885002,6.60819696912697,11549.6143976968,2907.89604329977,0.163389725066065,0.38452143745446,2217.82305784351,1833.62345661287,0.207805404376906
"33",17848307.1245074,24087380.0403793,20707497.6773435,20113443.8473071,19654722.3414206,19748399.7853166,24312269.252876,24418080.2520672,24221769.0169235,31959395.1796451,25704295.5192416,24582647.6644066,31896807.3746893,30616297.3939148,27392321.6107295,30361296.8979904,28092200.5459572,35831791.4990616,35620717.0793964,29647537.4217139,28641418.0623332,30260581.07444,36989533.6470165,33827825.0553537,29196310.5110713,50437132.7290949,194457193.75726,244894326.486355,25,10,8.17012563384695,86441.2500986218,136958.61526588,473612.228242937,76650.95768963,30.6444463162189,44.3210884333361,566802.965205189,813082.504007912,5.25904059626352,9.03019624983677,11172.2355461969,10202.9797490538,0.146729651231706,0.417613237852836,1492.68432674318,1430.63432880449,0.348636939622322
"34",7232515.95186429,7913475.35407841,9150283.93349887,6924425.70984458,7731707.08487653,10460913.1569284,9511342.70453538,9451178.96659189,9288098.46746406,10698720.2349144,9183944.79650645,13741916.1597041,11797846.8976619,13021358.8423361,13084145.5982909,16801919.5754047,13487250.8071422,15851773.1769591,9879694.24184725,15307316.8078792,14305525.1698646,12077153.232602,16987277.9851078,18482354.3869874,17766966.687348,-4717766.39539666,106194676.615982,101476910.220586,25,10,8.5615991288587,91776.7124811396,128526.918238711,494880.515263063,83759.6580152304,31.9894928623527,44.078478214014,665535.13438694,880811.2647884,4.66751175972729,8.7862758156994,11335.1063303062,8052.78787486676,0.215231011592587,0.521282966015643,1425.75752732126,1953.06303653219,0.347354059764234
